caseid,weight,vote2020,biden_winner,pres_vote,birthyr,age,age9,gender,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputzip,inputstate,educ7,hispanic,ethnicity,votereg,wave
216250582,1.63710290851989,"I usually vote, but didn't this time",Probably the rightful winner,NA,2000,20,18 - 24,Male,Never married,Temporarily laid off,"$20,000 - $29,999",Democrat,Strong Democrat,Did not vote for President,32837,Florida,High school diploma or the equivalent (GED),No,Asian/Pacific Islander,Don't know,13
136408213,0.917087633993237,I did not vote in the election this November,Definitely the rightful winner,NA,1955,65,65 - 74,Male,Married,Retired,"$20,000 - $29,999",Independent,Independent,Did not vote for President,79072,Texas,Some college,No,White,Don't know,13
169603924,0.96575412735746,I am sure I voted,Definitely not the rightful winner,Donald Trump,1991,29,25 - 34,Male,Never married,Full-time,"$80,000 - $99,999",Republican,Strong Republican,Did not vote for President,14228,New York,Bachelor's degree,No,White,Yes,13
173191174,0.952010879862631,I am sure I voted,Probably not the rightful winner,Donald Trump,1988,32,25 - 34,Female,Married,Homemaker,"$40,000 - $49,999",Republican,Not very strong Republican,Did not vote for President,76207,Texas,Associate's degree,No,White,Yes,13
141422509,0.958480322816182,I am sure I voted,Definitely the rightful winner,Joe Biden,1961,59,55 - 64,Female,Divorced,Part-time,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,32817,Florida,Some college,No,Black or African American,Yes,13
159251083,0.995679177114876,I am sure I voted,Definitely the rightful winner,Joe Biden,1964,56,55 - 64,Male,Married,Full-time,"$100,000 - $119,999",Independent,Lean Democrat,Hillary Clinton,68131,Nebraska,Some college,No,White,Yes,13
41478334,0.853830665451112,I am sure I voted,Definitely the rightful winner,Joe Biden,1971,49,45 - 54,Female,Married,Homemaker,"$150,000 - $199,999",Democrat,Strong Democrat,Hillary Clinton,64064,Missouri,Master's degree,No,White,Yes,13
219133399,0.764701157922805,I did not vote in the election this November,Probably not the rightful winner,NA,1980,40,35 - 44,Female,Married,Unemployed,"$30,000 - $39,999",Not sure,Not sure,Did not vote for President,72501,Arkansas,High school diploma or the equivalent (GED),No,White,No,13
36521863,1.07445208331095,I am sure I voted,Definitely not the rightful winner,Donald Trump,1954,66,65 - 74,Male,Married,Retired,"$100,000 - $119,999",Republican,Strong Republican,Donald Trump,11234,New York,High school diploma or the equivalent (GED),No,White,Yes,13
164894782,1.07755766359051,I am sure I voted,Definitely not the rightful winner,Donald Trump,1984,36,35 - 44,Female,Married,Homemaker,"$50,000 - $59,999",Republican,Not very strong Republican,Did not vote for President,49271,Michigan,Bachelor's degree,No,White,Yes,13
151594171,0.9057909733295450,"I thought about voting this time, but didn't",Definitely not the rightful winner,NA,1962,58,55 - 64,Female,Divorced,Part-time,"$10,000 - $19,999",Not sure,Not sure,Did not vote for President,53214,Wisconsin,High school diploma or the equivalent (GED),No,White,No,13
163461070,1.05301904636555,I am sure I voted,Definitely the rightful winner,Joe Biden,1989,31,25 - 34,Female,Married,Full-time,"$250,000 - $349,999",Democrat,Strong Democrat,Hillary Clinton,20009,District of Columbia,Professional or doctorate degree,No,White,Yes,13
52085926,0.901991481538691,I am sure I voted,Definitely the rightful winner,Joe Biden,1946,74,65 - 74,Female,Widowed,Retired,"$80,000 - $99,999",Independent,Lean Democrat,Hillary Clinton,23666,Virginia,High school diploma or the equivalent (GED),No,White,Yes,13
168076714,0.990411168212098,I am sure I voted,Definitely the rightful winner,Joe Biden,1977,43,35 - 44,Male,Married,Full-time,"$120,000 - $149,999",Independent,Lean Democrat,Hillary Clinton,11710,New York,Professional or doctorate degree,No,White,Yes,13
142184293,0.781994109868948,I am sure I voted,Definitely the rightful winner,Joe Biden,1957,63,55 - 64,Female,Married,Homemaker,"$30,000 - $39,999",Democrat,Not very strong Democrat,Did not vote for President,6606,Connecticut,High school diploma or the equivalent (GED),No,White,No,13
212505097,1.22969723308439,I am sure I voted,Probably not the rightful winner,Donald Trump,1964,56,55 - 64,Female,Widowed,Permanently disabled,"$40,000 - $49,999",Other,Lean Republican,Donald Trump,85737,Arizona,Bachelor's degree,No,White,Yes,13
7354438,1.29801843425129,I am sure I voted,Definitely not the rightful winner,Donald Trump,1968,52,45 - 54,Male,Married,Unemployed,"$100,000 - $119,999",Republican,Strong Republican,Donald Trump,15112,Pennsylvania,Bachelor's degree,No,White,Yes,13
222832093,1.23766391514082,I am sure I voted,Probably not the rightful winner,Someone else,1957,63,55 - 64,Male,Domestic / civil partnership,Retired,"Less than $10,000",Democrat,Not very strong Democrat,Donald Trump,94025,California,Professional or doctorate degree,No,White,Yes,13
58563991,1.29801843425129,I am sure I voted,Definitely not the rightful winner,Donald Trump,1956,64,55 - 64,Male,Married,Full-time,"$120,000 - $149,999",Independent,Lean Republican,Donald Trump,77471,Texas,Bachelor's degree,No,White,Yes,13
153326461,1.45790533530833,I am sure I voted,Definitely not the rightful winner,Donald Trump,1961,59,55 - 64,Male,Domestic / civil partnership,Permanently disabled,"$20,000 - $29,999",Democrat,Not very strong Democrat,Donald Trump,40371,Kentucky,Some college,No,White,Yes,13
129661942,0.941946616546689,I am sure I voted,Probably not the rightful winner,Donald Trump,1939,81,75 - 84,Female,Married,Retired,"$80,000 - $99,999",Republican,Strong Republican,Donald Trump,48186,Michigan,High school diploma or the equivalent (GED),No,White,Yes,13
204678286,1.02272832552888,I did not vote in the election this November,Probably not the rightful winner,NA,2001,19,18 - 24,Female,Never married,Part-time,"$30,000 - $39,999",Independent,Independent,Did not vote for President,44035,Ohio,Some college,No,Multi-racial,Yes,13
219210457,0.995239326840527,I am sure I voted,Definitely the rightful winner,Joe Biden,1966,54,45 - 54,Male,Married,Full-time,"$150,000 - $199,999",Democrat,Strong Democrat,Hillary Clinton,91301,California,Bachelor's degree,No,White,Yes,13
173512237,0.48806466753506,I am sure I voted,Probably the rightful winner,Someone else,1947,73,65 - 74,Female,Divorced,Retired,"$30,000 - $39,999",Other,Independent,Jill Stein,95073,California,Bachelor's degree,No,White,Yes,13
204988954,0.96575412735746,I am sure I voted,Definitely the rightful winner,Joe Biden,1993,27,25 - 34,Male,Never married,Part-time,Prefer not to say,Independent,Lean Democrat,Did not vote for President,92867,California,Bachelor's degree,No,White,Yes,13
33319657,1.06355890762245,I am sure I voted,Definitely the rightful winner,Joe Biden,1958,62,55 - 64,Male,Married,Full-time,"$350,000 - $499,999",Democrat,Not very strong Democrat,Hillary Clinton,92065,California,Bachelor's degree,No,Black or African American,Yes,13
185804881,0.764701157922805,I did not vote in the election this November,Definitely not the rightful winner,NA,1985,35,35 - 44,Female,Married,Homemaker,"$10,000 - $19,999",Republican,Not very strong Republican,Did not vote for President,72653,Arkansas,High school diploma or the equivalent (GED),No,White,No,13
136343389,0.995679177114876,I am sure I voted,Definitely the rightful winner,Joe Biden,1959,61,55 - 64,Male,Married,Retired,"$120,000 - $149,999",Independent,Lean Democrat,Hillary Clinton,1863,Massachusetts,Some college,No,White,Yes,13
223535311,1.02905252859837,I am sure I voted,Definitely the rightful winner,Joe Biden,1988,32,25 - 34,Female,Married,Full-time,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,2139,Massachusetts,Professional or doctorate degree,No,White,Yes,13
206865238,0.853830665451112,I am sure I voted,Definitely the rightful winner,Joe Biden,1967,53,45 - 54,Female,Divorced,Full-time,"$100,000 - $119,999",Democrat,Strong Democrat,Hillary Clinton,53515,Wisconsin,Professional or doctorate degree,No,White,Yes,13
7163101,0.761280687649679,I am sure I voted,Definitely the rightful winner,Joe Biden,1958,62,55 - 64,Male,Never married,Retired,"$80,000 - $99,999",Democrat,Strong Democrat,Hillary Clinton,94109,California,Some college,No,White,Yes,13
209341324,1.05797415790767,I am sure I voted,Probably not the rightful winner,Donald Trump,1953,67,65 - 74,Male,Married,Retired,"$120,000 - $149,999",Independent,Lean Republican,Donald Trump,85643,Arizona,Some college,No,White,Yes,13
211320532,1.10189649783883,I am sure I voted,Definitely the rightful winner,Joe Biden,1969,51,45 - 54,Female,Married,Part-time,"$50,000 - $59,999",Republican,Not very strong Republican,Did not vote for President,17401,Pennsylvania,Some college,No,White,Yes,13
393100012,1.10189649783883,I am sure I voted,Probably not the rightful winner,Donald Trump,1965,55,55 - 64,Female,Married,Part-time,"$50,000 - $59,999",Independent,Lean Republican,Did not vote for President,33021,Florida,Some college,No,White,Yes,13
363844408,0.9821292776625950,I am sure I voted,Definitely the rightful winner,Joe Biden,1969,51,45 - 54,Female,Domestic / civil partnership,Full-time,"$150,000 - $199,999",Democrat,Not very strong Democrat,Did not vote for President,43147,Ohio,Associate's degree,No,Black or African American,Yes,13
170472607,0.952010879862631,I am sure I voted,Probably not the rightful winner,Donald Trump,1979,41,35 - 44,Female,Widowed,Permanently disabled,"$10,000 - $19,999",Republican,Strong Republican,Did not vote for President,32127,Florida,Some college,No,White,Yes,13
166857586,1.33927738748732,I am sure I voted,Probably not the rightful winner,Donald Trump,1973,47,45 - 54,Male,Married,Full-time,"$70,000 - $79,999",Independent,Lean Republican,Donald Trump,17815,Pennsylvania,Master's degree,No,White,Yes,13
160337380,0.746287713210358,I am sure I voted,Definitely the rightful winner,Joe Biden,1985,35,35 - 44,Female,Never married,Full-time,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,8610,New Jersey,High school diploma or the equivalent (GED),No,White,Yes,13
50085793,0.872993888080957,I am sure I voted,Definitely the rightful winner,Joe Biden,1983,37,35 - 44,Female,Never married,Unemployed,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,60462,Illinois,Master's degree,No,Asian/Pacific Islander,Yes,13
210768400,0.941946616546689,I am sure I voted,Definitely not the rightful winner,Donald Trump,1934,86,85 or older,Female,Divorced,Retired,"$20,000 - $29,999",Republican,Strong Republican,Donald Trump,47150,Indiana,High school diploma or the equivalent (GED),No,White,Yes,13
214813417,1.20316705666853,I am sure I voted,Probably the rightful winner,Donald Trump,1968,52,45 - 54,Female,Divorced,Homemaker,Prefer not to say,Republican,Not very strong Republican,Donald Trump,93638,California,High school diploma or the equivalent (GED),Yes,White,Yes,13
401472286,0.848072757864238,I did not vote in the election this November,Definitely not the rightful winner,NA,1989,31,25 - 34,Female,Divorced,Homemaker,"$70,000 - $79,999",Not sure,Independent,Did not vote for President,80909,Colorado,Some college,No,White,Yes,13
6288322,0.921294358328178,I am sure I voted,Definitely the rightful winner,Joe Biden,1960,60,55 - 64,Female,Divorced,Permanently disabled,"$20,000 - $29,999",Democrat,Strong Democrat,Hillary Clinton,80260,Colorado,Bachelor's degree,No,White,Yes,13
401667874,0.918480987987745,I am sure I voted,Definitely the rightful winner,Joe Biden,1990,30,25 - 34,Male,Never married,Full-time,"Less than $10,000",Republican,Not very strong Republican,Did not vote for President,10001,New York,Bachelor's degree,No,White,Yes,13
39248779,1.06728784199979,I am sure I voted,Definitely not the rightful winner,Donald Trump,1957,63,55 - 64,Female,Married,Retired,Prefer not to say,Republican,Strong Republican,Donald Trump,8096,New Jersey,Some college,No,Other,Yes,13
33127003,0.927263030157072,I am sure I voted,Definitely the rightful winner,Joe Biden,1958,62,55 - 64,Male,Married,Retired,"$120,000 - $149,999",Independent,Lean Democrat,Hillary Clinton,94546,California,Master's degree,No,White,Yes,13
37114591,0.520617576602788,I am sure I voted,Probably the rightful winner,Donald Trump,1988,32,25 - 34,Male,Married,Part-time,"$70,000 - $79,999",Independent,Independent,Other,95209,California,Bachelor's degree,Yes,Multi-racial,Yes,13
192384424,1.16130980385897,I am sure I voted,Definitely not the rightful winner,Donald Trump,1970,50,45 - 54,Female,Married,Full-time,"$120,000 - $149,999",Republican,Strong Republican,Donald Trump,27516,North Carolina,High school diploma or the equivalent (GED),No,White,Yes,13
61404331,0.631037285217308,I am sure I voted,Definitely not the rightful winner,Donald Trump,1965,55,55 - 64,Male,Divorced,Retired,"$30,000 - $39,999",Republican,Strong Republican,Did not vote for President,91730,California,Some college,No,Multi-racial,Yes,13
185622454,0.848072757864238,I am sure I voted,Definitely not the rightful winner,Donald Trump,1989,31,25 - 34,Female,Divorced,Full-time,"$60,000 - $69,999",Not sure,Not sure,Did not vote for President,97471,Oregon,Some college,No,White,No,13
144173389,1.07388202523208,I am sure I voted,Definitely not the rightful winner,Donald Trump,1942,78,75 - 84,Female,Widowed,Retired,"$50,000 - $59,999",Republican,Strong Republican,Donald Trump,15239,Pennsylvania,High school diploma or the equivalent (GED),No,White,Yes,13
120640465,1.32898233671997,I am sure I voted,Definitely not the rightful winner,Donald Trump,1961,59,55 - 64,Male,Never married,Retired,Prefer not to say,Republican,Not very strong Republican,Donald Trump,1863,Massachusetts,Associate's degree,No,White,Yes,13
389140564,0.883980189030823,I am sure I voted,Definitely the rightful winner,Joe Biden,1963,57,55 - 64,Female,Never married,Permanently disabled,Prefer not to say,Democrat,Strong Democrat,Hillary Clinton,62551,Illinois,High school diploma or the equivalent (GED),No,White,Yes,13
363465916,0.503776661789291,I am sure I voted,Probably not the rightful winner,Donald Trump,1992,28,25 - 34,Male,Never married,Full-time,"$500,000 or more",Republican,Strong Republican,Donald Trump,92037,California,Bachelor's degree,Yes,White,Yes,13
164137666,0.817430828971743,I am sure I voted,Definitely the rightful winner,Joe Biden,1952,68,65 - 74,Female,Married,Retired,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,97537,Oregon,High school diploma or the equivalent (GED),No,White,Yes,13
204697732,1.1964222992362,I am sure I voted,Definitely the rightful winner,Joe Biden,1987,33,25 - 34,Male,Married,Full-time,"$250,000 - $349,999",Republican,Strong Republican,Donald Trump,8831,New York,Bachelor's degree,No,White,Yes,13
223418590,0.452254562061828,I am sure I voted,Probably the rightful winner,Donald Trump,1982,38,35 - 44,Male,Married,Full-time,"$80,000 - $99,999",Independent,Lean Republican,Gary Johnson,84075,Utah,Master's degree,No,White,Yes,13
7997053,1.04352042430504,I am sure I voted,Probably the rightful winner,Donald Trump,1981,39,35 - 44,Male,Married,Retired,Prefer not to say,Independent,Independent,Donald Trump,55352,Minnesota,Bachelor's degree,No,Black or African American,Yes,13
166734304,0.401694230271942,I am sure I voted,Probably not the rightful winner,Donald Trump,1959,61,55 - 64,Male,Married,Full-time,"$70,000 - $79,999",Republican,Strong Republican,Gary Johnson,74344,Oklahoma,High school diploma or the equivalent (GED),No,White,Yes,13
135981619,1.19460730272395,I am sure I voted,Definitely not the rightful winner,Donald Trump,1955,65,65 - 74,Male,Married,Full-time,"$80,000 - $99,999",Republican,Strong Republican,Donald Trump,70454,Louisiana,Some college,No,White,Yes,13
201308068,0.901991481538691,I am sure I voted,Definitely the rightful winner,Joe Biden,1949,71,65 - 74,Female,Divorced,Part-time,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,34114,Florida,High school diploma or the equivalent (GED),No,White,Yes,13
65388907,1.32898233671997,I am sure I voted,Probably not the rightful winner,Donald Trump,1963,57,55 - 64,Male,Married,Full-time,"$60,000 - $69,999",Independent,Lean Republican,Donald Trump,48159,Michigan,Associate's degree,No,White,Yes,13
218954044,1.19801950782533,I did not vote in the election this November,Definitely the rightful winner,NA,1989,31,25 - 34,Male,Married,Full-time,"$100,000 - $119,999",Republican,Strong Republican,Donald Trump,95113,California,Professional or doctorate degree,No,White,Yes,13
204582319,0.695842758319467,I am sure I voted,Definitely the rightful winner,Joe Biden,1957,63,55 - 64,Male,Married,Full-time,"$60,000 - $69,999",Independent,Lean Democrat,Hillary Clinton,20166,Virginia,Professional or doctorate degree,No,Black or African American,Yes,13
203110777,0.824845718484978,I am sure I voted,Probably the rightful winner,Someone else,1953,67,65 - 74,Male,Never married,Retired,"$10,000 - $19,999",Independent,Lean Republican,Did not vote for President,8089,New Jersey,High school diploma or the equivalent (GED),No,White,Yes,13
53711503,0.995161337184032,I am sure I voted,Probably the rightful winner,Donald Trump,1938,82,75 - 84,Female,Widowed,Retired,"$150,000 - $199,999",Republican,Strong Republican,Donald Trump,92131,California,Some college,No,White,Yes,13
208903132,1.06408550497027,I am sure I voted,Probably not the rightful winner,Donald Trump,1956,64,55 - 64,Male,Married,Retired,"$30,000 - $39,999",Democrat,Not very strong Democrat,Donald Trump,25550,West Virginia,High school diploma or the equivalent (GED),No,White,Yes,13
129324616,1.15621922996553,I am sure I voted,Definitely not the rightful winner,Donald Trump,1943,77,75 - 84,Male,Married,Retired,"$150,000 - $199,999",Republican,Strong Republican,Donald Trump,83714,Idaho,Master's degree,No,White,Yes,13
213309505,0.824845718484978,I am sure I voted,Probably the rightful winner,Donald Trump,1955,65,65 - 74,Male,Married,Retired,"$70,000 - $79,999",Republican,Not very strong Republican,Did not vote for President,11783,New York,High school diploma or the equivalent (GED),No,White,Yes,13
135574762,0.748854292428389,I am sure I voted,Definitely the rightful winner,Joe Biden,1960,60,55 - 64,Female,Married,Homemaker,"$50,000 - $59,999",Democrat,Strong Democrat,Hillary Clinton,33805,Washington,Some college,No,American Indian or Alaska Native,Yes,13
137865019,0.697696367080051,I am sure I voted,Definitely the rightful winner,Joe Biden,1955,65,65 - 74,Female,Divorced,Permanently disabled,"$80,000 - $99,999",Democrat,Strong Democrat,Hillary Clinton,23435,Virginia,Bachelor's degree,No,Black or African American,Yes,13
314728492,1.05161086299079,I am sure I voted,Definitely the rightful winner,Joe Biden,1977,43,35 - 44,Female,Married,Full-time,"$80,000 - $99,999",Democrat,Strong Democrat,Hillary Clinton,52240,Iowa,Bachelor's degree,No,White,Yes,13
137268379,0.968631343861928,I am sure I voted,Definitely the rightful winner,Joe Biden,1938,82,75 - 84,Female,Married,Retired,"$200,000 - $249,999",Democrat,Strong Democrat,Hillary Clinton,94582,California,Bachelor's degree,No,White,Yes,13
190059385,0.781994109868948,I did not vote in the election this November,Definitely the rightful winner,NA,1956,64,55 - 64,Female,Widowed,Retired,"$10,000 - $19,999",Democrat,Not very strong Democrat,Did not vote for President,18452,Pennsylvania,High school diploma or the equivalent (GED),No,White,No,13
204760609,1.11258810630399,I am sure I voted,Definitely not the rightful winner,Donald Trump,1935,85,85 or older,Female,Widowed,Retired,"$10,000 - $19,999",Republican,Strong Republican,Donald Trump,85053,Arizona,High school diploma or the equivalent (GED),No,White,Yes,13
402293170,0.441981858365033,I am sure I voted,Definitely the rightful winner,Joe Biden,1978,42,35 - 44,Male,Married,Full-time,"$50,000 - $59,999",Independent,Independent,Gary Johnson,67661,Kansas,Associate's degree,No,White,Yes,13
218716918,1.28438579437875,I am sure I voted,Definitely not the rightful winner,Donald Trump,1982,38,35 - 44,Male,Never married,Full-time,"$40,000 - $49,999",Republican,Not very strong Republican,Donald Trump,8884,New Jersey,Associate's degree,No,White,Yes,13
132053956,1.51875245444804,"I thought about voting this time, but didn't",Probably the rightful winner,NA,1957,63,55 - 64,Male,Married,Full-time,"$70,000 - $79,999",Democrat,Strong Democrat,Hillary Clinton,20706,Maryland,Associate's degree,No,Black or African American,Yes,13
170719432,1.07445208331095,I am sure I voted,Definitely the rightful winner,Joe Biden,1949,71,65 - 74,Male,Married,Retired,"$10,000 - $19,999",Democrat,Not very strong Democrat,Donald Trump,30083,Georgia,High school diploma or the equivalent (GED),No,White,Yes,13
175696189,0.344801875762325,I am sure I voted,Definitely the rightful winner,Joe Biden,1943,77,75 - 84,Male,Married,Retired,"$10,000 - $19,999",Independent,Independent,Gary Johnson,48464,Michigan,Associate's degree,No,White,Yes,13
401903080,1.62088202593071,I am sure I voted,Definitely the rightful winner,Joe Biden,1987,33,25 - 34,Female,Never married,Full-time,"$60,000 - $69,999",Democrat,Not very strong Democrat,Hillary Clinton,85224,Arizona,Bachelor's degree,Yes,Hispanic/Latino/Chicano/a,Yes,13
138527461,0.792638705458039,I am sure I voted,Definitely the rightful winner,Joe Biden,1955,65,65 - 74,Male,Married,Permanently disabled,Prefer not to say,Other,Lean Democrat,Hillary Clinton,97225,Oregon,Associate's degree,No,White,Yes,13
399347380,0.857048221072751,I am sure I voted,Definitely not the rightful winner,Donald Trump,1994,26,25 - 34,Male,Married,Full-time,"$120,000 - $149,999",Independent,Independent,Did not vote for President,97124,Oregon,Some college,Yes,Multi-racial,Yes,13
52428628,0.773856096376211,I am sure I voted,Definitely the rightful winner,Joe Biden,1982,38,35 - 44,Male,Domestic / civil partnership,Full-time,"$80,000 - $99,999",Democrat,Not very strong Democrat,Hillary Clinton,77008,Texas,Bachelor's degree,No,White,Yes,13
166827046,0.974273403397983,I am sure I voted,Definitely not the rightful winner,Donald Trump,1944,76,75 - 84,Male,Divorced,Retired,"$30,000 - $39,999",Republican,Not very strong Republican,Did not vote for President,53546,Wisconsin,High school diploma or the equivalent (GED),No,White,Yes,13
206325778,1.05671264404915,I am sure I voted,Definitely the rightful winner,Joe Biden,1990,30,25 - 34,Female,Married,Full-time,"$120,000 - $149,999",Democrat,Strong Democrat,Did not vote for President,19428,Pennsylvania,Bachelor's degree,No,White,Yes,13
330067318,0.853830665451112,I am sure I voted,Definitely the rightful winner,Donald Trump,1972,48,45 - 54,Female,Married,Full-time,"$80,000 - $99,999",Republican,Not very strong Republican,Hillary Clinton,60126,Illinois,Master's degree,No,White,Yes,13
168043981,2.20314273120635,I am sure I voted,Definitely the rightful winner,Joe Biden,2002,18,18 - 24,Male,Never married,Student,"$20,000 - $29,999",Democrat,Not very strong Democrat,Did not vote for President,33809,Florida,Some college,No,Hispanic/Latino/Chicano/a,Yes,13
130441882,1.37352740269919,I am sure I voted,Definitely the rightful winner,Joe Biden,1978,42,35 - 44,Female,Married,Full-time,Prefer not to say,Independent,Not sure,Donald Trump,19808,Delaware,Master's degree,No,White,Yes,13
208401565,0.973423958548125,I am sure I voted,Definitely the rightful winner,Joe Biden,1958,62,55 - 64,Female,Married,Homemaker,Prefer not to say,Democrat,Strong Democrat,Hillary Clinton,18974,Pennsylvania,Master's degree,No,White,Yes,13
421611256,1.34713735015967,"I thought about voting this time, but didn't",Probably the rightful winner,NA,1975,45,45 - 54,Male,Married,Full-time,"$30,000 - $39,999",Republican,Strong Republican,Donald Trump,21046,Maryland,High school diploma or the equivalent (GED),No,White,Yes,13
6282718,0.45165161288923,I am sure I voted,Definitely the rightful winner,Joe Biden,1976,44,35 - 44,Male,Never married,Full-time,"$200,000 - $249,999",Democrat,Not very strong Democrat,Gary Johnson,7002,New Jersey,Bachelor's degree,No,White,Yes,13
34003546,0.767331063340229,I am sure I voted,Definitely not the rightful winner,Donald Trump,1957,63,55 - 64,Female,Never married,Permanently disabled,Prefer not to say,Independent,Lean Republican,Did not vote for President,87108,New Mexico,Some college,Yes,Hispanic/Latino/Chicano/a,Yes,13
166105030,1.17080717994794,I am sure I voted,Definitely the rightful winner,Joe Biden,1983,37,35 - 44,Male,Divorced,Full-time,"$30,000 - $39,999",Independent,Independent,Donald Trump,52403,Iowa,Associate's degree,No,White,Yes,13
136528120,0.896364637415339,I am sure I voted,Definitely the rightful winner,Joe Biden,1978,42,35 - 44,Male,Never married,Full-time,"$60,000 - $69,999",Independent,Lean Democrat,Hillary Clinton,6029,Connecticut,Bachelor's degree,No,White,Yes,13
40870399,1.20316705666853,I am sure I voted,Definitely not the rightful winner,Donald Trump,1963,57,55 - 64,Female,Married,Retired,Prefer not to say,Independent,Independent,Donald Trump,97439,Oregon,High school diploma or the equivalent (GED),Yes,White,Yes,13
197542561,1.2039327269154,I am sure I voted,Definitely not the rightful winner,Donald Trump,1944,76,75 - 84,Female,Married,Retired,"$20,000 - $29,999",Republican,Strong Republican,Donald Trump,30127,Georgia,High school diploma or the equivalent (GED),No,White,Yes,13
183124096,0.948079217238584,I am sure I voted,Definitely the rightful winner,Joe Biden,1994,26,25 - 34,Female,Married,Full-time,"$50,000 - $59,999",Democrat,Not very strong Democrat,Hillary Clinton,60153,Illinois,Bachelor's degree,No,Hispanic/Latino/Chicano/a,Yes,13
223489069,0.840579263307686,I am sure I voted,Definitely the rightful winner,Joe Biden,1999,21,18 - 24,Male,Never married,Student,"$10,000 - $19,999",Democrat,Strong Democrat,Did not vote for President,97219,Oregon,Some college,No,Multi-racial,Yes,13
212459458,1.03323706141189,I am sure I voted,Definitely the rightful winner,Joe Biden,1979,41,35 - 44,Male,Domestic / civil partnership,Full-time,"$50,000 - $59,999",Democrat,Strong Democrat,Hillary Clinton,92688,California,Bachelor's degree,No,Other,Yes,13
222891685,0.7255997682185,I am sure I voted,Definitely not the rightful winner,Donald Trump,1999,21,18 - 24,Male,Never married,Student,"$50,000 - $59,999",Republican,Strong Republican,Did not vote for President,46142,Indiana,Some college,No,White,Yes,13
327549670,1.01611905765076,I am sure I voted,Probably not the rightful winner,Donald Trump,1958,62,55 - 64,Male,Widowed,Retired,"$50,000 - $59,999",Republican,Strong Republican,Donald Trump,85359,Washington,Associate's degree,No,White,Yes,13
58974064,1.19801950782533,I am sure I voted,Probably the rightful winner,Donald Trump,1977,43,35 - 44,Male,Married,Full-time,"$150,000 - $199,999",Republican,Strong Republican,Donald Trump,85119,Arizona,Professional or doctorate degree,No,White,Yes,13
222897613,0.985631149722262,I did not vote in the election this November,Definitely the rightful winner,NA,1990,30,25 - 34,Female,Married,Homemaker,"$80,000 - $99,999",Democrat,Not very strong Democrat,Did not vote for President,95035,California,Bachelor's degree,No,Asian/Pacific Islander,No,13
148169653,1.07536363590763,I am sure I voted,Definitely the rightful winner,Joe Biden,1959,61,55 - 64,Female,Domestic / civil partnership,Part-time,"$70,000 - $79,999",Democrat,Strong Democrat,Hillary Clinton,32162,Florida,Associate's degree,No,White,Yes,13
207237625,0.745579075000695,I am sure I voted,Definitely the rightful winner,Joe Biden,1949,71,65 - 74,Female,Married,Retired,Prefer not to say,Democrat,Strong Democrat,Hillary Clinton,81211,Colorado,Some college,No,White,Yes,13
421257934,0.764701157922805,I am sure I voted,Definitely the rightful winner,Donald Trump,1979,41,35 - 44,Female,Divorced,Full-time,"$20,000 - $29,999",Democrat,Not very strong Democrat,Did not vote for President,36613,Alabama,High school diploma or the equivalent (GED),No,White,Yes,13
133355068,1.30841349300455,I am sure I voted,Probably the rightful winner,Donald Trump,1964,56,55 - 64,Female,Married,Homemaker,"$80,000 - $99,999",Independent,Lean Republican,Donald Trump,1609,Massachusetts,Associate's degree,No,White,Yes,13
158526868,0.962559376276152,I am sure I voted,Definitely the rightful winner,Joe Biden,1953,67,65 - 74,Female,Widowed,Full-time,"$50,000 - $59,999",Democrat,Strong Democrat,Hillary Clinton,52349,Iowa,Master's degree,No,White,Yes,13
363868060,0.484857993681257,I am sure I voted,Probably the rightful winner,Someone else,1985,35,35 - 44,Male,Divorced,Full-time,"$50,000 - $59,999",Independent,Independent,Gary Johnson,27889,North Carolina,Associate's degree,No,White,Yes,13
53595832,0.816887403830964,"I thought about voting this time, but didn't",Definitely the rightful winner,NA,1959,61,55 - 64,Male,Never married,Part-time,"$10,000 - $19,999",Independent,Independent,Did not vote for President,6460,Connecticut,High school diploma or the equivalent (GED),No,White,No,13
317892580,0.838047653496065,I did not vote in the election this November,Probably the rightful winner,NA,1979,41,35 - 44,Female,Never married,Full-time,"$30,000 - $39,999",Not sure,Not sure,Did not vote for President,20745,Maryland,Associate's degree,No,Black or African American,Don't know,13
207287239,0.89186116015944,I am sure I voted,Definitely the rightful winner,Joe Biden,1945,75,75 - 84,Female,Divorced,Temporarily laid off,"$30,000 - $39,999",Democrat,Not very strong Democrat,Hillary Clinton,94107,California,Some college,No,Asian/Pacific Islander,Yes,13
155524279,0.723122646200961,I am sure I voted,Definitely not the rightful winner,Donald Trump,1949,71,65 - 74,Female,Married,Retired,Prefer not to say,Republican,Strong Republican,Did not vote for President,44310,Ohio,High school diploma or the equivalent (GED),No,White,Yes,13
