caseid,weight,vote2020,biden_winner,pres_vote,birthyr,age,age9,gender,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputzip,inputstate,educ7,hispanic,ethnicity,votereg,wave
206878717,1.21312851176946,I am sure I voted,Probably not the rightful winner,Donald Trump,1967,53,45 - 54,Male,Married,Full-time,"$70,000 - $79,999",Republican,Strong Republican,Donald Trump,72209,Arkansas,High school diploma or the equivalent (GED),No,White,Yes,13
181355026,0.908881002372366,I am sure I voted,Definitely the rightful winner,Joe Biden,1961,59,55 - 64,Male,Married,Full-time,"$40,000 - $49,999",Independent,Independent,Hillary Clinton,78660,Texas,High school diploma or the equivalent (GED),No,White,Yes,13
42980047,1.07445208331095,I am sure I voted,Definitely not the rightful winner,Donald Trump,1949,71,65 - 74,Male,Married,Retired,"$40,000 - $49,999",Republican,Strong Republican,Donald Trump,13421,New York,High school diploma or the equivalent (GED),No,White,Yes,13
160751473,0.924246665407341,I am sure I voted,Definitely the rightful winner,Someone else,1952,68,65 - 74,Female,Divorced,Permanently disabled,"Less than $10,000",Independent,Independent,Did not vote for President,3244,New Hampshire,High school diploma or the equivalent (GED),No,White,Yes,13
211147903,0.666745143406541,I did not vote in the election this November,Definitely the rightful winner,NA,1994,26,25 - 34,Female,Married,Homemaker,"Less than $10,000",Not sure,Independent,Did not vote for President,48377,Michigan,Some college,No,White,No,13
65626204,0.50147164269493,I am sure I voted,Probably not the rightful winner,Donald Trump,1974,46,45 - 54,Male,Never married,Full-time,"$200,000 - $249,999",Other,Independent,Gary Johnson,85251,Arizona,Bachelor's degree,No,White,Yes,13
159514723,0.666745143406541,I am sure I voted,Definitely the rightful winner,Joe Biden,2000,20,18 - 24,Female,Never married,Student,"$100,000 - $119,999",Democrat,Strong Democrat,Did not vote for President,46807,Indiana,Some college,No,White,Yes,13
35354041,0.932580050614984,I am sure I voted,Definitely the rightful winner,Joe Biden,1978,42,35 - 44,Female,Married,Homemaker,"$120,000 - $149,999",Democrat,Not very strong Democrat,Hillary Clinton,90804,California,Master's degree,No,White,Yes,13
43477846,0.763037730194384,I am sure I voted,Definitely the rightful winner,Joe Biden,1975,45,45 - 54,Female,Married,Homemaker,"$20,000 - $29,999",Democrat,Not very strong Democrat,Did not vote for President,77901,Texas,High school diploma or the equivalent (GED),No,Black or African American,No,13
217172128,1.17080717994794,"I usually vote, but didn't this time",Probably the rightful winner,NA,1980,40,35 - 44,Male,Married,Full-time,"$70,000 - $79,999",Republican,Strong Republican,Donald Trump,60605,Illinois,Some college,No,White,Yes,13
139277659,0.931306174046952,"I usually vote, but didn't this time",Probably not the rightful winner,NA,1969,51,45 - 54,Male,Never married,Full-time,"$20,000 - $29,999",Not sure,Not sure,Did not vote for President,31087,Georgia,High school diploma or the equivalent (GED),No,White,No,13
175766494,0.429683550389236,I am sure I voted,Definitely the rightful winner,Someone else,1992,28,25 - 34,Female,Married,Part-time,"$60,000 - $69,999",Republican,Not very strong Republican,Gary Johnson,6401,Connecticut,Master's degree,No,White,Yes,13
130819729,0.954241340082519,I am sure I voted,Definitely the rightful winner,Joe Biden,1939,81,75 - 84,Male,Married,Retired,"$50,000 - $59,999",Democrat,Strong Democrat,Hillary Clinton,94947,California,High school diploma or the equivalent (GED),No,White,Yes,13
205392835,1.43036863054146,I am sure I voted,Definitely not the rightful winner,Donald Trump,1946,74,65 - 74,Female,Widowed,Retired,"$20,000 - $29,999",Republican,Strong Republican,Donald Trump,32244,Florida,High school diploma or the equivalent (GED),No,American Indian or Alaska Native,Yes,13
329684422,0.641876999273389,I did not vote in the election this November,Probably the rightful winner,NA,1952,68,65 - 74,Male,Married,Retired,"$30,000 - $39,999",Independent,Independent,Did not vote for President,71675,Arkansas,Some college,No,Black or African American,Yes,13
212993392,0.95585458398597,I am sure I voted,Definitely the rightful winner,Joe Biden,1935,85,85 or older,Male,Never married,Retired,"$50,000 - $59,999",Independent,Lean Democrat,Hillary Clinton,28203,North Carolina,Master's degree,No,White,Yes,13
350487886,1.30223242675506,I am sure I voted,Definitely the rightful winner,Joe Biden,1973,47,45 - 54,Male,Separated,Permanently disabled,"$10,000 - $19,999",Independent,Independent,Did not vote for President,76116,Texas,Some college,No,White,Yes,13
182790709,1.02905252859837,I am sure I voted,Definitely the rightful winner,Joe Biden,1980,40,35 - 44,Female,Married,Other,"$150,000 - $199,999",Democrat,Strong Democrat,Hillary Clinton,16844,Pennsylvania,Master's degree,No,White,Yes,13
221447374,1.51875245444804,I am sure I voted,Definitely the rightful winner,Joe Biden,1961,59,55 - 64,Male,Married,Part-time,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,30906,Georgia,Associate's degree,Yes,Black or African American,Yes,13
129736627,1.15621922996553,I am sure I voted,Definitely not the rightful winner,Donald Trump,1942,78,75 - 84,Male,Married,Retired,Prefer not to say,Republican,Not very strong Republican,Donald Trump,80126,Colorado,Master's degree,No,White,Yes,13
302944936,0.937845287050488,I am sure I voted,Definitely the rightful winner,Joe Biden,1992,28,25 - 34,Female,Married,Full-time,"$70,000 - $79,999",Democrat,Not very strong Democrat,Hillary Clinton,90755,California,Some college,No,Hispanic/Latino/Chicano/a,Yes,13
129762061,1.32839524676283,I am sure I voted,Probably the rightful winner,Donald Trump,1967,53,45 - 54,Male,Never married,Part-time,"$40,000 - $49,999",Republican,Strong Republican,Donald Trump,96003,California,Bachelor's degree,No,White,Yes,13
206124370,0.793829924954227,I am sure I voted,Definitely the rightful winner,Joe Biden,1980,40,35 - 44,Male,Domestic / civil partnership,Full-time,"$70,000 - $79,999",Democrat,Strong Democrat,Hillary Clinton,68025,Nebraska,High school diploma or the equivalent (GED),No,White,Yes,13
173510170,3.84057006197309,I am sure I voted,Definitely not the rightful winner,Donald Trump,1964,56,55 - 64,Male,Separated,Permanently disabled,"$30,000 - $39,999",Republican,Strong Republican,Did not vote for President,93550,California,Did not graduate from high school,No,Hispanic/Latino/Chicano/a,Yes,13
214151944,1.01147119970382,I am sure I voted,Definitely not the rightful winner,Donald Trump,1996,24,18 - 24,Female,Never married,Part-time,"$20,000 - $29,999",Republican,Not very strong Republican,Did not vote for President,33615,Florida,Some college,Yes,Hispanic/Latino/Chicano/a,Yes,13
128526853,1.2039327269154,I am sure I voted,Probably not the rightful winner,Donald Trump,1945,75,75 - 84,Female,Widowed,Retired,"$40,000 - $49,999",Republican,Strong Republican,Donald Trump,36360,Alabama,High school diploma or the equivalent (GED),No,White,Yes,13
128267749,1.30157172955884,I am sure I voted,Definitely not the rightful winner,Donald Trump,1947,73,65 - 74,Female,Married,Retired,"$70,000 - $79,999",Republican,Strong Republican,Donald Trump,23693,Virginia,Some college,No,White,Yes,13
